x,y,vx,vy,ax,ay
220.737828,102.176681,47.488657,-0.182982,-0.393401,-9.799971
221.176493,102.173325,47.484988,-0.273545,-0.393361,-9.799220
221.617852,102.172169,47.481390,-0.364026,-0.393322,-9.798471
222.056451,102.167136,47.477721,-0.454575,-0.393283,-9.797721
222.497742,102.164303,47.474124,-0.545042,-0.393245,-9.796971
222.936274,102.157593,47.470456,-0.635578,-0.393206,-9.796222
223.377497,102.153082,47.466859,-0.726030,-0.393169,-9.795472
223.815962,102.144695,47.463192,-0.816552,-0.393132,-9.794723
224.257118,102.138506,47.459596,-0.906991,-0.393096,-9.793974
224.695515,102.128443,47.455929,-0.997499,-0.393059,-9.793224
225.136604,102.120578,47.452334,-1.087924,-0.393024,-9.792475
225.574934,102.108838,47.448668,-1.178418,-0.392989,-9.791726
226.015955,102.099297,47.445073,-1.268829,-0.392955,-9.790977
226.454219,102.085881,47.441408,-1.359310,-0.392920,-9.790228
226.895172,102.074663,47.437814,-1.449707,-0.392887,-9.789479
227.333368,102.059571,47.434149,-1.540173,-0.392853,-9.788730
227.774255,102.046677,47.430556,-1.630557,-0.392821,-9.787982
228.212384,102.029910,47.426892,-1.721009,-0.392788,-9.787233
228.653203,102.015340,47.423299,-1.811379,-0.392757,-9.786484
229.091265,101.996898,47.419635,-1.901818,-0.392725,-9.785735
229.532016,101.980652,47.416043,-1.992174,-0.392695,-9.784987
229.970011,101.960535,47.412380,-2.082599,-0.392664,-9.784238
230.410695,101.942614,47.408789,-2.172941,-0.392635,-9.783490
230.848623,101.920822,47.405126,-2.263352,-0.392605,-9.782741
231.289239,101.901226,47.401535,-2.353680,-0.392577,-9.781993
231.727100,101.877759,47.397873,-2.444077,-0.392548,-9.781244
232.167649,101.856488,47.394283,-2.534392,-0.392521,-9.780496
232.605443,101.831348,47.390621,-2.624775,-0.392493,-9.779747
233.045925,101.808402,47.387031,-2.715076,-0.392466,-9.778999
233.483652,101.781587,47.383370,-2.805445,-0.392439,-9.778251
233.924066,101.756967,47.379781,-2.895732,-0.392414,-9.777503
234.361727,101.728479,47.376120,-2.986088,-0.392388,-9.776754
234.802073,101.702185,47.372531,-3.076361,-0.392363,-9.776006
235.239666,101.672023,47.368871,-3.166703,-0.392338,-9.775258
235.679946,101.644055,47.365283,-3.256962,-0.392315,-9.774510
236.117472,101.612220,47.361623,-3.347290,-0.392291,-9.773761
236.557684,101.582579,47.358035,-3.437535,-0.392268,-9.773013
236.995143,101.549071,47.354376,-3.527850,-0.392245,-9.772264
237.435288,101.517756,47.350788,-3.618081,-0.392223,-9.771516
237.872680,101.482576,47.347129,-3.708382,-0.392201,-9.770768
238.312758,101.449588,47.343542,-3.798599,-0.392180,-9.770020
238.750083,101.412735,47.339884,-3.888886,-0.392159,-9.769271
239.190093,101.378074,47.336297,-3.979090,-0.392139,-9.768523
239.627352,101.339549,47.332639,-4.069362,-0.392119,-9.767775
240.067294,101.303216,47.329053,-4.159553,-0.392100,-9.767026
240.504486,101.263019,47.325395,-4.249811,-0.392080,-9.766278
240.944361,101.225013,47.321809,-4.339988,-0.392062,-9.765530
241.381486,101.183144,47.318151,-4.430233,-0.392044,-9.764781
241.821294,101.143467,47.314566,-4.520395,-0.392027,-9.764033
242.258352,101.099927,47.310908,-4.610626,-0.392010,-9.763284
242.698092,101.058578,47.307323,-4.700775,-0.391993,-9.762536
243.135083,101.013366,47.303666,-4.790992,-0.391977,-9.761787
243.574756,100.970346,47.300081,-4.881127,-0.391962,-9.761038
244.011680,100.923463,47.296425,-4.971331,-0.391946,-9.760289
244.451286,100.878771,47.292840,-5.061452,-0.391932,-9.759541
244.888143,100.830218,47.289183,-5.151641,-0.391917,-9.758792
245.327682,100.783855,47.285599,-5.241749,-0.391904,-9.758043
245.764472,100.733632,47.281943,-5.331924,-0.391890,-9.757294
246.203943,100.685598,47.278359,-5.422018,-0.391878,-9.756546
246.640667,100.633705,47.274703,-5.512180,-0.391865,-9.755796
247.080071,100.584001,47.271119,-5.602259,-0.391853,-9.755048
247.516728,100.530437,47.267463,-5.692407,-0.391842,-9.754298
247.956064,100.479063,47.263879,-5.782473,-0.391831,-9.753549
248.392654,100.423830,47.260224,-5.872607,-0.391820,-9.752800
248.831923,100.370786,47.256640,-5.962659,-0.391810,-9.752051
249.268446,100.313883,47.252985,-6.052780,-0.391800,-9.751301
249.707648,100.259169,47.249402,-6.142818,-0.391792,-9.750552
250.144104,100.200598,47.245747,-6.232924,-0.391783,-9.749802
250.583239,100.144214,47.242164,-6.322948,-0.391775,-9.749052
251.019628,100.083974,47.238509,-6.413041,-0.391766,-9.748302
251.458696,100.025921,47.234925,-6.503051,-0.391760,-9.747553
251.895018,99.964012,47.231271,-6.593130,-0.391752,-9.746803
252.334018,99.904291,47.227688,-6.683127,-0.391746,-9.746053
252.770274,99.840713,47.224033,-6.773192,-0.391740,-9.745302
253.209206,99.779323,47.220450,-6.863174,-0.391735,-9.744553
253.645395,99.714078,47.216796,-6.953226,-0.391729,-9.743802
254.084261,99.651019,47.213213,-7.043194,-0.391725,-9.743052
254.520383,99.584106,47.209558,-7.133232,-0.391721,-9.742301
254.959181,99.519379,47.205976,-7.223186,-0.391717,-9.741551
255.395236,99.450798,47.202321,-7.313210,-0.391714,-9.740800
255.833967,99.384403,47.198739,-7.403151,-0.391711,-9.740049
256.269955,99.314155,47.195084,-7.493161,-0.391708,-9.739298
256.708619,99.246093,47.191502,-7.583088,-0.391707,-9.738547
257.144540,99.174178,47.187847,-7.673083,-0.391705,-9.737795
257.583136,99.104448,47.184265,-7.762996,-0.391704,-9.737044
258.018991,99.030866,47.180610,-7.852978,-0.391703,-9.736293
258.457520,98.959469,47.177028,-7.942878,-0.391704,-9.735541
258.893308,98.884220,47.173374,-8.032846,-0.391704,-9.734789
259.331770,98.811157,47.169791,-8.122731,-0.391705,-9.734038
259.767491,98.734242,47.166137,-8.212685,-0.391706,-9.733285
260.205885,98.659511,47.162554,-8.302557,-0.391708,-9.732534
260.641539,98.580931,47.158900,-8.392497,-0.391709,-9.731781
261.079866,98.504534,47.155317,-8.482354,-0.391712,-9.731029
261.515454,98.424287,47.151663,-8.572281,-0.391715,-9.730276
261.953714,98.346224,47.148080,-8.662124,-0.391719,-9.729524
